edge_id,u,v,length_m,hierarchy,bike_allowed,walk_allowed
edge_n_4_5_n_5_5,n_4_5,n_5_5,640.0,radial_arterial,True,True
edge_center_n_1_6,center,n_1_6,640.0,radial_arterial,False,True
edge_n_1_6_n_2_6,n_1_6,n_2_6,640.0,radial_arterial,True,True
edge_n_2_6_n_3_6,n_2_6,n_3_6,640.0,radial_arterial,True,True
edge_n_3_6_n_4_6,n_3_6,n_4_6,640.0,radial_arterial,True,True
edge_n_4_6_n_5_6,n_4_6,n_5_6,640.0,radial_arterial,True,True
edge_center_n_1_7,center,n_1_7,640.0,radial_arterial,True,True
edge_n_1_7_n_2_7,n_1_7,n_2_7,640.0,radial_arterial,True,True
edge_n_2_7_n_3_7,n_2_7,n_3_7,640.0,radial_arterial,True,True
edge_n_3_7_n_4_7,n_3_7,n_4_7,640.0,radial_arterial,True,True
edge_n_4_7_n_5_7,n_4_7,n_5_7,640.0,radial_arterial,True,True
edge_n_1_0_n_1_1,n_1_0,n_1_1,489.83,ring_arterial,True,True
edge_n_1_1_n_1_2,n_1_1,n_1_2,489.83,ring_arterial,True,True
edge_n_1_2_n_1_3,n_1_2,n_1_3,489.83,ring_arterial,True,True
edge_n_1_3_n_1_4,n_1_3,n_1_4,489.83,ring_arterial,True,True
edge_n_1_4_n_1_5,n_1_4,n_1_5,489.83,ring_arterial,True,True
edge_n_1_5_n_1_6,n_1_5,n_1_6,489.83,ring_arterial,True,True
edge_n_1_6_n_1_7,n_1_6,n_1_7,489.83,ring_arterial,True,True
edge_n_1_7_n_1_0,n_1_7,n_1_0,489.83,ring_arterial,True,True
edge_n_2_0_n_2_1,n_2_0,n_2_1,979.67,ring_arterial,True,True
edge_n_2_1_n_2_2,n_2_1,n_2_2,979.67,ring_arterial,True,True
edge_n_2_2_n_2_3,n_2_2,n_2_3,979.67,ring_arterial,True,True
edge_n_2_3_n_2_4,n_2_3,n_2_4,979.67,ring_arterial,True,True
edge_n_2_4_n_2_5,n_2_4,n_2_5,979.67,ring_arterial,True,True
edge_n_2_5_n_2_6,n_2_5,n_2_6,979.67,ring_arterial,True,True
edge_n_2_6_n_2_7,n_2_6,n_2_7,979.67,ring_arterial,True,True
edge_n_2_7_n_2_0,n_2_7,n_2_0,979.67,ring_arterial,True,True
edge_n_3_0_n_3_1,n_3_0,n_3_1,1469.5,local_connector,True,True
edge_n_3_1_n_3_2,n_3_1,n_3_2,1469.5,local_connector,True,True
edge_n_3_2_n_3_3,n_3_2,n_3_3,1469.5,local_connector,True,True
edge_n_3_3_n_3_4,n_3_3,n_3_4,1469.5,local_connector,True,True
edge_n_3_4_n_3_5,n_3_4,n_3_5,1469.5,local_connector,True,True
edge_n_3_5_n_3_6,n_3_5,n_3_6,1469.5,local_connector,True,True
edge_n_3_6_n_3_7,n_3_6,n_3_7,1469.5,local_connector,True,True
edge_n_3_7_n_3_0,n_3_7,n_3_0,1469.5,local_connector,True,True
edge_n_4_0_n_4_1,n_4_0,n_4_1,1959.34,local_connector,True,True
edge_n_4_1_n_4_2,n_4_1,n_4_2,1959.34,local_connector,True,True
edge_n_4_2_n_4_3,n_4_2,n_4_3,1959.34,local_connector,True,True
edge_n_4_3_n_4_4,n_4_3,n_4_4,1959.34,local_connector,True,True
edge_n_4_4_n_4_5,n_4_4,n_4_5,1959.34,local_connector,True,True
edge_n_4_5_n_4_6,n_4_5,n_4_6,1959.34,local_connector,True,True
edge_n_4_6_n_4_7,n_4_6,n_4_7,1959.34,local_connector,True,True
edge_n_4_7_n_4_0,n_4_7,n_4_0,1959.34,local_connector,True,True
edge_n_5_0_n_5_1,n_5_0,n_5_1,2449.17,local_connector,True,True
edge_n_5_1_n_5_2,n_5_1,n_5_2,2449.17,local_connector,True,True
edge_n_5_2_n_5_3,n_5_2,n_5_3,2449.17,local_connector,True,True
edge_n_5_3_n_5_4,n_5_3,n_5_4,2449.17,local_connector,True,True
edge_n_5_4_n_5_5,n_5_4,n_5_5,2449.17,local_connector,True,True
edge_n_5_5_n_5_6,n_5_5,n_5_6,2449.17,local_connector,True,True
edge_n_5_6_n_5_7,n_5_6,n_5_7,2449.17,local_connector,True,True
edge_n_5_7_n_5_0,n_5_7,n_5_0,2449.17,local_connector,True,True
